description,category
User received an email pretending to be from the bank asking to verify account credentials,phishing
Employee clicked a link in an email and entered their password on a fake login page,phishing
Suspicious email impersonating IT support requesting password reset via external link,phishing
An email with a spoofed sender address asked the finance team to update payment details,phishing
Staff member reported a message claiming to be from HR asking to confirm login details,phishing
A fake invoice email contained a link to a credential harvesting page,phishing
Multiple employees received emails impersonating the CEO requesting urgent wire transfer,phishing
User reported a text message claiming their package delivery requires payment confirmation,phishing
A look alike domain was used to mimic the company webmail login portal,phishing
Email attachment disguised as a shared document redirected to a fraudulent sign in page,phishing
Voice call pretending to be tech support asked the user to share their one time password,phishing
Spear phishing email targeted the accounting department with a fake vendor invoice,phishing
Employees received text messages asking them to confirm a bank code on a suspicious link,phishing
A cloned company login page was discovered hosted on a newly registered domain,phishing
Social media message impersonated a recruiter and asked for personal identification documents,phishing
An email claiming to be a delivery notice asked the recipient to pay a customs fee online,phishing
A fraudulent message from a fake IT helpdesk requested the employee remote access code,phishing
Phishing kit was discovered hosting a near identical copy of the company webmail page,phishing
Attacker sent a calendar invite containing a malicious link disguised as a meeting room booking,phishing
A scam email offered a fake prize and asked the user to log in to claim it,phishing
Employees were lured into entering their credentials on a counterfeit single sign on page,phishing
A text message impersonating the postal service asked for a small redelivery payment,phishing
Fraudulent email requested gift card purchases on behalf of an impersonated executive,phishing
A fake software update notification linked to a credential stealing website,phishing
Attacker used a typo squatted domain to imitate the company's customer portal,phishing
Antivirus flagged an executable that attempts to modify system registry keys on startup,malware
A downloaded file was found to install a backdoor that communicates with a remote server,malware
Endpoint detection alerted on a process injecting code into another running application,malware
USB drive contained a trojan that copies itself to the startup folder,malware
An infected attachment dropped a malicious payload when opened,malware
System logs show unauthorized creation of a scheduled task running an unknown binary,malware
Workstation began making outbound connections to known command and control servers,malware
A keylogger was discovered running silently in the background of an employee laptop,malware
Antivirus quarantined a file disguised as a document that was actually an executable script,malware
Suspicious library file was side loaded by a legitimate application to evade detection,malware
A worm was found spreading across the internal network through shared folders,malware
Spyware was detected capturing screenshots and sending them to an external address,malware
A rootkit hid its presence by hooking low level operating system calls,malware
Fileless malware executed entirely in memory using scripting commands,malware
Adware bundled with a free software installer began displaying unwanted pop ups,malware
